chemical,sensor,mean_delta,mean_abs_delta,mean_slope,mean_resp_range,mean_effect_size,mean_abs_effect_size,mean_recovery_min,pct_recovered,n_pulses
Glucose,OD_a135_c3,-0.0034178724490652825,0.0034178724490652825,8.099382832546126e-05,0.0035786346499166663,-10.166783871365851,10.166783871365853,37.932525,66.66666666666666,12
Glucose,OD_a45_c4,0.006607338646806929,0.006607338646806929,-0.00015764474321135725,0.007393689745916668,11.33988867125539,11.33988867125539,30.703297619047618,58.333333333333336,12
Glucose,OD_a90_c2,0.0025883002590708173,0.0025883002590708173,-5.555036208340521e-05,0.0035085664638333236,5.322186599773044,5.322186599773043,26.307533333333332,66.66666666666666,12
Glucose,band_415nm,-0.0004603407118055561,0.0004603407118055561,1.032552808280047e-05,0.0003987630208333332,-9.772724772664175,9.772724772664175,34.34900555555556,50.0,12
Glucose,band_445nm,-0.003932264539930536,0.003932264539930536,8.196681995751674e-05,0.0030208333333333385,-11.958889158179515,11.958889158179515,33.254556666666666,41.66666666666667,12
Glucose,band_480nm,-0.004666341145833336,0.004666341145833336,0.00010320063237786798,0.003754882812499985,-13.12115246812799,13.121152468127994,31.98798333333333,41.66666666666667,12
Glucose,band_515nm,-0.005159437391493035,0.005159437391493035,0.00011758194450604603,0.003878580729166678,-12.524850844441934,12.524850844441934,31.471406666666667,41.66666666666667,12
Glucose,band_555nm,-0.005796081542968738,0.005796081542968738,0.00013094134357817462,0.004285481770833331,-11.923984000493943,11.923984000493943,31.60484333333333,41.66666666666667,12
Glucose,band_590nm,-0.005614549424913208,0.005614549424913208,0.00012639226499602335,0.004088541666666667,-11.76794847390237,11.76794847390237,31.821603333333332,41.66666666666667,12
Glucose,band_630nm,-0.005331319173177094,0.005331319173177094,0.0001211908350388842,0.003938802083333341,-12.540771354838489,12.540771354838485,34.169025,50.0,12
Glucose,band_680nm,-0.0033343641493055534,0.0033343641493055534,7.453203362697056e-05,0.0025211588541666657,-13.065686359649938,13.065686359649938,35.98858333333334,50.0,12
Glucose,co2_ppm,8.670833333333348,21.762500000000028,0.9283052887950949,44.083333333333336,0.4139466174745086,3.44226892819433,1.6884479166666666,66.66666666666666,12
Glucose,growth_rate,-0.0039374587293556605,0.006248715050087362,-0.0001623746869031004,0.011893651471416668,-2.1591173468211067,2.762763301188695,13.203486666666667,83.33333333333334,12
Glucose,nOD,-0.018101380024147656,0.018101380024147656,0.00035883369087346583,0.02089026792349999,-15.52154412039752,15.521544120397516,24.494925,50.0,12
Glucose,relative_humidity,-0.015416666666669224,0.061541666666668014,-0.003168808851190733,0.46083333333333226,-0.23954741400007462,0.730014995212794,1.4585694444444444,100.0,12
MgSO4,OD_a135_c3,-0.00469965867320787,0.00469965867320787,2.0264281364513158e-05,0.0045185754182222254,-18.897524964371634,18.897524964371634,47.85783333333333,11.11111111111111,9
MgSO4,OD_a45_c4,0.008312085132818987,0.008312085132818987,-2.877150172822055e-05,0.007874108262888887,24.782378241433392,24.782378241433392,33.35783333333333,11.11111111111111,9
MgSO4,OD_a90_c2,0.0040303983971032055,0.0040303983971032055,7.255803862020002e-07,0.004558443021333329,9.069197501808453,9.069197501808453,13.047258333333334,44.44444444444444,9
MgSO4,band_415nm,-0.0006816767939814823,0.0006816767939814823,3.2826478941281214e-06,0.0002690972222222234,-15.842363053382229,15.842363053382229,,0.0,9
MgSO4,band_445nm,-0.005868580005787025,0.005868580005787025,2.0934515670542366e-05,0.0018598090277777701,-22.942795990416894,22.94279599041689,,0.0,9
MgSO4,band_480nm,-0.006925509982638874,0.006925509982638874,2.960210295596038e-05,0.0022026909722222296,-24.960620023838924,24.960620023838924,,0.0,9
MgSO4,band_515nm,-0.007599338107638897,0.007599338107638897,3.313977188428283e-05,0.0024457465277777676,-26.478443084482613,26.478443084482613,,0.0,9
MgSO4,band_555nm,-0.00853270580150465,0.00853270580150465,3.543105561481576e-05,0.002771267361111126,-23.382135742350734,23.38213574235073,,0.0,9
MgSO4,band_590nm,-0.008365071614583343,0.008365071614583343,3.775883507530157e-05,0.002779947916666661,-22.87837349903182,22.87837349903182,,0.0,9
MgSO4,band_630nm,-0.007911277488425936,0.007911277488425936,3.787135359155257e-05,0.0026888020833333243,-23.536104194645816,23.536104194645816,,0.0,9
MgSO4,band_680nm,-0.004920346860532391,0.004920346860532391,2.5716649418083487e-05,0.0016992187500000028,-24.41168822640752,24.41168822640752,,0.0,9
MgSO4,co2_ppm,-1.6722222222222551,12.000000000000012,-0.2438571143491449,26.22222222222222,-0.4060093927556443,1.947214919050868,13.656672222222221,100.0,9
MgSO4,growth_rate,-0.004575498419854816,0.00713479580757595,-0.0001557521504589046,0.015959076311333333,-1.9666251078293004,3.3117978327274926,12.395669047619048,77.77777777777779,9
MgSO4,nOD,-0.02579177427143163,0.02579177427143163,2.095609045703701e-05,0.023980077789555552,-122.56123093513868,122.56123093513868,50.6912,11.11111111111111,9
MgSO4,relative_humidity,0.20174999999999935,0.24619444444444444,0.005868395098664354,0.5288888888888894,1.1142160864265462,1.667727063384094,2.0688190476190473,77.77777777777779,9
NH4SO4,OD_a135_c3,-0.0023532319266137635,0.0023532319266137635,5.719652503449621e-05,0.003326642625000009,-6.777367562604168,6.777367562604168,20.544040000000003,50.0,10
NH4SO4,OD_a45_c4,0.0022938145925820745,0.0022938145925820745,-3.724116726836343e-05,0.0023210151486000004,20.01281691698816,20.01281691698816,22.1108,40.0,10
NH4SO4,OD_a90_c2,0.003177815534900849,0.003177815534900849,-4.2263716765678465e-05,0.0035367440493000004,14.16222413365293,14.16222413365293,6.485845833333334,40.0,10
NH4SO4,band_415nm,-0.0008563883463541665,0.0008563883463541665,9.58838835393385e-06,0.00044140624999999963,-15.901212907276838,15.901212907276834,25.749375,40.0,10
NH4SO4,band_445nm,-0.006711344401041685,0.006711344401041685,7.592875442919229e-05,0.0032617187499999977,-18.615273420740998,18.615273420740998,27.08280416666667,40.0,10
NH4SO4,band_480nm,-0.00831163736979168,0.00831163736979168,9.217605233212257e-05,0.0037539062500000107,-22.996625317448498,22.996625317448498,26.978704166666667,40.0,10
NH4SO4,band_515nm,-0.009749625651041682,0.009749625651041682,0.00011354559871922391,0.004363281250000017,-22.13322197020229,22.13322197020229,27.749591666666667,40.0,10
NH4SO4,band_555nm,-0.011167651367187458,0.011167651367187458,0.00012918688709040587,0.0054179687499999905,-20.328164285876888,20.328164285876888,26.3746875,40.0,10
NH4SO4,band_590nm,-0.011261946614583306,0.011261946614583306,0.00012955126325319162,0.005310546875000021,-20.237294157164122,20.237294157164126,27.583108333333332,40.0,10
NH4SO4,band_630nm,-0.010843986002604156,0.010843986002604156,0.00012682638032947453,0.004849609374999997,-24.373412611013332,24.373412611013332,27.854041666666667,40.0,10
NH4SO4,band_680nm,-0.006836914062499993,0.006836914062499993,7.888246938049441e-05,0.0029902343750000003,-22.713028836088426,22.71302883608843,27.624929166666668,40.0,10
