recording_id,filename,label,touch_time_sec,touch_group,notes
1,control_01.wav,0,,control,
2,control_02.wav,0,,control,
3,control_03.wav,0,,control,
4,control_04.wav,0,,control,
5,control_05.wav,0,,control,
6,control_06.wav,0,,control,
7,control_07.wav,0,,control,
8,control_08.wav,0,,control,
9,control_09.wav,0,,control,
10,control_10.wav,0,,control,
11,control_11.wav,0,,control,
12,control_12.wav,0,,control,
13,control_13.wav,0,,control,
14,control_14.wav,0,,control,
15,control_15.wav,0,,control,
16,touch_01.wav,1,15.0,early,
17,touch_02.wav,1,16.0,early,
18,touch_03.wav,1,17.0,early,
19,touch_04.wav,1,18.0,early,
20,touch_05.wav,1,19.0,early,
21,touch_06.wav,1,20.0,early,
22,touch_07.wav,1,15.0,early,
23,touch_08.wav,1,17.0,early,
24,touch_09.wav,1,19.0,early,
25,touch_10.wav,1,16.0,early,
26,touch_11.wav,1,25.0,mid_early,
27,touch_12.wav,1,27.0,mid_early,
28,touch_13.wav,1,29.0,mid_early,
29,touch_14.wav,1,31.0,mid_early,
30,touch_15.wav,1,33.0,mid_early,
31,touch_16.wav,1,35.0,mid_early,
32,touch_17.wav,1,26.0,mid_early,
33,touch_18.wav,1,30.0,mid_early,
34,touch_19.wav,1,32.0,mid_early,
35,touch_20.wav,1,28.0,mid_early,
36,touch_21.wav,1,40.0,mid_late,
37,touch_22.wav,1,42.0,mid_late,
38,touch_23.wav,1,44.0,mid_late,
39,touch_24.wav,1,46.0,mid_late,
40,touch_25.wav,1,48.0,mid_late,
41,touch_26.wav,1,50.0,mid_late,
42,touch_27.wav,1,41.0,mid_late,
43,touch_28.wav,1,43.0,mid_late,
44,touch_29.wav,1,47.0,mid_late,
45,touch_30.wav,1,45.0,mid_late,
